"Sample","Time","ColonyFormingUnitsPerDroplet","Likelihood","LowerCI","UpperCI","GridSize","ExcludedWellPositions","ExcludedGridPositions","TotalExclusions"
"SPAC4F10.20",6,1.26358194326478,0.0421164088921894,0.441501254706776,2.84562002591052,4,"","",0
"SPBC119.06",6,0,1,0,0.320115312805095,4,"","",0
"SPBC18E5.07",6,43.5347500696761,0.0103710328506316,18.9032071420659,90.8484896520731,4,"","",0
"SPBC405.04c",6,0,1,0,0.320115312805095,4,"","",0
"SPBC776.15c",6,0,1,0,0.320115312805095,4,"","",0
"SPAC22F3.10c",6,0,1,0,0.320115312805095,4,"","",0
"SPBC1711.13",6,0,1,0,0.320115312805095,4,"","",0
"SPBC29A3.01",6,0,1,0,0.320115312805095,4,"","",0
"SPCC162.12",6,4.47382295176288,0.00680114312509617,1.97798212419897,9.10864722029527,4,"","",0
"SPAC26F1.10c",6,15.550335708781,0.0230512528071206,6.64198752660868,33.0343559856395,4,"","",0
"SPCC1753.02c",6,80.8978419312942,0.00855332832814044,34.4233681712089,172.597074363878,4,"","",0
"SPAC227.04",6,0,1,0,0.320115312805095,4,"","",0
"SPBC17G9.10",6,11.0390621016825,0.0178989788478198,4.79106045940815,23.0228018978568,4,"","",0
"SPAC1556.02c",6,0.18232193329838,0.26791893283428,0.0103896074620061,0.806561868501326,4,"","",0
"SPCC4G3.04c",6,0,1,0,0.320115312805095,4,"","",0
"972 h-",6,0,1,0,0.320115312805095,4,"","",0
"SPBC1683.01",6,0,1,0,0.320115312805095,4,"","",0
"SPAC3A11.11c",6,1.4979363626958,0.0470583675652336,0.512028372583583,3.52464176596738,4,"","",0
"SPACUNK4.15",6,0,1,0,0.320115312805095,4,"","",0
"SPBC16E9.19",6,133.65946495779,0.0118287406252457,57.7155203975068,280.660635931188,4,"","",0
"SPBC9B6.03",6,0,1,0,0.320115312805095,4,"","",0
"SPCC1494.08c",6,161.281066245328,0.0127319175667551,71.1827559288536,329.450246610132,4,"","",0
"SPCC18.17c",6,0,1,0,0.320115312805095,4,"","",0
"SPCC1827.04",6,269.859476791976,0.0669801141333445,111.677904650169,596.921987930996,4,"","",0
"SPAC12B10.14c",6,0,1,0,0.320115312805095,4,"","",0
"SPAC1952.09c",6,0.18232193329838,0.26791893283428,0.0103896074620061,0.806561868501326,4,"","",0
"SPAC1F3.10c",6,0,1,0,0.320115312805095,4,"","",0
"SPAC26H5.07c",6,0,1,0,0.320115312805095,4,"","",0
"SPAC57A7.05",6,0,1,0,0.320115312805095,4,"","",0
"SPAC5D6.06c",6,0,1,0,0.320115312805095,4,"","",0
"SPBC21H7.04",6,0,1,0,0.320115312805095,4,"","",0
"SPCC162.04c",6,0.561675756693222,0.00257925754758805,0.139215425739196,1.46667533723717,4,"","",0
"SPAC10F6.05c",6,1.69036120938219,0.0236022537512753,0.646742626482394,3.65461441839518,4,"","",0
"SPAC144.08",6,336.45380692254,0.0514486265881693,141.560085015086,729.444691829987,4,"","",0
